name,Height (ft),xcoord,ycoord
Ben Chonzie,3054,277324,730857
Ben Vorlich,3233,262912,718916
Stuc a' Chroin,3192,261746,717465
Ben Lomond,3195,236707,702863
Ben More,3852,243276,724417
Stob Binnein,3822,243481,722712
Cruach Ardrain,3431,240927,721215
An Caisteal,3267,237873,719343
Beinn Tulaichean,3103,241660,719604
Beinn a' Chroin,3089,238755,718573
Beinn Chabhair,3058,236760,717957
Ben Lui [Beinn Laoigh],3712,226635,726296
Ben Oss,3376,228761,725348
Beinn Dubhchraig,3209,230763,725493
Beinn a' Chleibh,3006,225054,725606
Ben Vorlich,3094,229509,712474
Beinn Ime,3321,225497,708488
Ben Vane,3004,227753,709844
Beinn Narnain,3041,227168,706655
Beinn Bhuidhe,3112,220368,718717
Schiehallion,3553,271384,754768
Carn Mairg,3419,268491,751260
Carn Gorm,3376,263516,750071
Meall Garbh,3176,264707,751686
Meall na Aighean,3219,269477,749669
Stuc an Lochain [Stuchd an Lochain],3150,248305,744840
Meall Buidhe,3058,249838,749946
Beinn Dorain,3530,232554,737855
Beinn an Dothaidh,3294,233178,740868
Beinn Achaladair,3407,234468,743242
Beinn a' Chreachain,3545,237387,744075
Beinn Mhanach,3127,237371,741140
Ben Lawers,3983,263553,741424
An Stuc,3665,263890,743103
Meall Garbh,3685,264437,743757
Meall Greigh,3284,267400,743808
Beinn Ghlas,3619,262529,740463
Meall Corranaich,3507,261534,741047
Meall a' Choire Leith,3037,261249,743882
Meall nan Tarmachan,3424,258518,738998
Meall Ghaordaidh,3411,251442,739704
Beinn Sheasgarnaich [Beinn Heasgarnich],3535,241380,738339
Creag Mhor,3434,239150,736111
Beinn Challuim [Ben Challum],3363,238685,732235
Meall Glas,3146,243148,732194
Sgiath Chuil,3019,246290,731793
Sgorr nam Fiannaidh (Aonach Eagach),3175,214044,758304
Meall Dearg (Aonach Eagach),3124,216124,758363
Stob Dearg (Buachaille Etive Mor),3351,222265,754254
Stob na Broige (Buachaille Etive Mor),3128,219072,752568
Stob Dubh (Buachaille Etive Beag),3143,217910,753541
Stob Coire Raineach (Buachaille Etive Beag) ,3033,219140,754796
Bidean nam Bian,3771,214341,754211
Stob Coire Sgreamhach,3517,215487,753664
Sgorr Dhearg (Beinn a' Bheithir),3360,205684,755846
Sgorr Dhonuill (Beinn a' Bheithir),3284,204058,755540
Sgurr na h-Ulaidh [Sgor na h-Ulaidh],3261,211117,751794
Beinn Fhionnlaidh,3146,209508,749769
Beinn Sgulaird,3074,205303,746088
Ben Cruachan,3698,206962,730472
Stob Daimh [Stob Diamh],3278,209482,730858
Beinn Eunaich,3245,213562,732797
Beinn a' Chochuill,3215,210978,732848
Beinn nan Aighenan,3150,214851,740528
Ben Starav,3542,212576,742714
Glas Bheinn Mhor,3273,215327,742982
Stob Coir' an Albannaich,3425,216952,744303
Meall nan Eun,3045,219248,744903
Stob Ghabhar,3576,223017,745515
Stob a' Choire Odhair,3100,225731,745982
Creise,3608,223854,750645
Meall a' Bhuiridh,3635,225063,750346
Ben Nevis,4411,216666,771288
Aonach Beag,4049,219707,771502
Aonach Mor,4004,219306,772962
Carn Mor Dearg,4003,217748,772172
Sgurr Choinnich Mor,3589,222771,771419
Stob Coire an Laoigh,3661,223984,772532
Stob Choire Claurigh,3862,226196,773878
Stob Ban,3205,226669,772395
Stob Coire Easain,3658,230802,773066
Stob a' Choire Mheadhoin,3625,231652,773643
Sgurr Eilde Mor,3314,223054,765788
Binnein Beag,3094,222173,767714
Binnein Mor,3707,221219,766352
Na Gruagaichean,3459,220307,765200
An Gearanach,3220,218770,766992
Stob Coire a' Chairn,3219,218561,766063
Am Bodach,3385,217637,765097
Sgurr a' Mhaim,3606,216465,766730
Stob Ban,3280,214777,765443
Mullach nan Coirean,3082,212233,766243
Stob Coire Sgriodain,3212,235669,774381
Chno Dearg,3432,237741,774115
Beinn na Lap,3068,237616,769585
Carn Dearg,3087,241773,766143
Sgor Gaibhre,3133,244477,767448
Beinn Eibhinn,3620,244965,773302
Aonach Beag,3661,245786,774190
Geal-Charn,3714,246992,774629
Carn Dearg,3392,250416,776444
Beinn a' Chlachair,3566,247122,778155
Creag Pitridh,3031,248752,781459
Geal Charn,3442,250432,781181
Ben Alder,3766,249616,771855
Beinn Bheoil,3343,251716,771722
Beinn Udlamain,3314,257945,773975
Sgairneach Mhor,3251,259882,773130
A' Mharconaich,3193,260423,776293
Geal-charn,3009,259644,778261
Meall Chuaich,3120,271648,787834
Carn na Caim,3087,267700,782153
A' Bhuidheanach Bheag,3071,266059,777594
Beinn Dearg,3309,285296,777800
An Sgarsoch,3302,293339,783685
Carn an Fhidhleir [Carn Ealar],3261,290476,784195
Carn a' Chlamain,3161,291591,775807
Carn nan Gabhar (Beinn a' Ghlo),3681,297116,773314
Braigh Coire Chruinn-bhalgain (Beinn a' Ghlo),3510,294563,772403
Carn Liath (Beinn a' Ghlo),3202,293607,769830
Glas Tulaichean,3448,305105,776011
Carn an Righ,3376,302871,777268
Beinn Iutharn Mhor,3428,304566,779279
Carn Bhac,3101,305104,783225
An Socach,3097,307938,780016
Carn a' Gheoidh,3199,310703,776700
The Cairnwell,3061,313486,777360
Carn Aosda,3003,313397,779164
Cac Carn Beag (Lochnagar),3792,324372,786140
Carn a' Choire Bhoidheach,3641,322673,784557
Carn an t-Sagairt Mor,3435,320810,784280
Glas Maol,3504,316699,776576
Creag Leacach,3242,315468,774548
Cairn of Claise,3491,318549,778890
Carn an Tuirc,3343,317454,780482
Tom Buidhe,3140,321367,778774
Tolmount,3143,321051,780018
Cairn Bannoch,3320,322288,782555
Broad Cairn,3274,324056,781567
Mayar,3045,324083,773748
Driesh,3107,327116,773588
Mount Keen,3081,340905,786927
Mullach Clach a' Bhlair,3343,288285,792702
Sgor Gaoith,3668,290300,798961
Braeriach,4252,295328,799916
Sgor an Lochain Uaine,4127,295422,797693
Cairn Toul,4236,296328,797229
The Devil's Point,3303,297609,795115
Monadh Mor,3652,293866,794217
Beinn Bhrotain,3796,295413,792292
Carn a' Mhaim,3402,299458,795199
Ben Macdui [Beinn Macduibh],4295,298899,798943
Cairn Gorm,4084,300516,804065
Bynack More,3576,304190,806373
Beinn Mheadhoin,3881,302460,801695
Derry Cairngorm,3789,301734,798032
Beinn Bhreac,3054,305870,797075
Beinn a' Chaorainn,3553,304515,801360
Leabaidh an Daimh Bhuidhe (Ben Avon),3845,313193,801845
Beinn a' Bhuird North Top,3927,309231,800621
Geal Charn,3038,256144,798768
Carn Dearg,3103,263568,802398
A' Chailleach,3049,268110,804178
Carn Sgulain,3019,268302,805821
Creag Meagaidh,3701,241839,787545
Stob Poite Coire Ardair,3458,242884,788845
Carn Liath,3301,247229,790325
Beinn a' Chaorainn,3442,238605,785062
Beinn Teallach,3001,236136,785973
Gleouraich,3396,203945,805345
Sgurr a' Mhaoraich,3369,198392,806581
Spidean Mialach,3268,206592,804306
The Saddle,3319,193610,813124
Sgurr na Sgine,3104,194618,811368
Creag a' Mhaim,3104,208790,807772
Druim Shionnach,3232,207441,808484
Aonach air Chrith,3345,205103,808354
Maol Chinn-dearg,3216,203221,808769
Sgurr an Doire Leathain,3314,201524,809890
Sgurr an Lochain,3294,200583,810428
Creag nan Damh,3009,198348,811202
Beinn Sgritheall,3196,183588,812682
Sgurr na Ciche,3413,190220,796686
Garbh Chioch Mhor,3323,190956,796101
Sgurr nan Coireachan,3129,193308,795827
Sgurr Mor,3291,196535,798041
Gairich,3015,202589,799580
Meall Buidhe,3104,184898,798977
Ladhar Bheinn,3346,182400,803983
Luinne Bheinn,3081,186979,800740
Sron a' Choire Ghairbh,3074,222247,794560
Meall na Teanga,3008,222023,792471
Gulvain [Gaor Bheinn],3238,200268,787575
Sgurr Thuilm,3159,193906,787980
Sgurr nan Coireachan,3136,190290,788013
Sgurr Fhuaran,3507,197849,816678
Sgurr na Carnach,3287,197715,815891
Sgurr na Ciste Duibhe,3369,198401,814953
Saileag,3136,201774,814827
Sgurr a' Bhealaich Dheirg,3399,203517,814360
Aonach Meadhoin,3284,204882,813760
Ciste Dhubh,3219,206236,816618
Beinn Fhada,3385,201856,819254
A' Ghlas-bheinn,3012,200822,823104
Sgurr nan Ceathramhnan [Sgurr nan Ceathreamhnan],3776,205702,822851
Mullach na Dheiragain,3222,208044,825917
An Socach,3017,208816,822999
Mam Sodhail,3869,212007,825332
Carn Eighe,3881,212355,826197
Beinn Fhionnlaidh,3297,211560,828271
Tom a' Choinich,3648,216402,827331
Toll Creagach,3458,219401,828280
Mullach Fraoch-choire,3615,209491,817151
A' Chraileag [A' Chralaig],3675,209431,814791
Sail Chaorainn,3278,213313,815442
Sgurr nan Conbhairean,3638,212988,813896
Carn Ghluasaid,3140,214576,812523
Sgurr na Ruaidhe,3258,228900,842615
Carn nan Gobhar,3255,227303,843890
Sgurr a' Choire Ghlais,3553,225835,843056
Sgurr Fhuar-thuill,3442,223580,843754
Moruisg,3045,210114,849939
Maoile Lunndaidh,3297,213506,845853
Sgurr a' Chaorachain,3455,208749,844738
Sgurr Choinnich,3279,207625,844627
Bidein a' Choire Sheasgaich,3100,204906,841265
Lurg Mhor,3238,206480,840451
Carn nan Gobhar,3258,218188,834362
Sgurr na Lapaich,3776,216103,835125
