Name,SMC Section,Height (ft),xcoord,ycoord
Ben Nevis,4,4411,216666,771288
Ben Macdui [Beinn Macduibh],8,4295,298899,798943
Braeriach,8,4252,295328,799916
Cairn Toul,8,4236,296328,797229
Sgor an Lochain Uaine,8,4127,295422,797693
Cairn Gorm,8,4084,300516,804065
Aonach Beag,4,4049,219707,771502
Aonach Mor,4,4004,219306,772962
Carn Mor Dearg,4,4003,217748,772172
Ben Lawers,2,3983,263553,741424
Beinn a' Bhuird North Top,8,3927,309231,800621
Beinn Mheadhoin,8,3881,302460,801695
Carn Eighe,11,3881,212355,826197
Mam Sodhail,11,3869,212007,825332
Stob Choire Claurigh,4,3862,226196,773878
Ben More,1,3852,243276,724417
Leabaidh an Daimh Bhuidhe (Ben Avon),8,3845,313193,801845
Stob Binnein,1,3822,243481,722712
Beinn Bhrotain,8,3796,295413,792292
Cac Carn Beag (Lochnagar),7,3792,324372,786140
Derry Cairngorm,8,3789,301734,798032
Sgurr nan Ceathramhnan [Sgurr nan Ceathreamhnan],11,3776,205702,822851
Sgurr na Lapaich,12,3776,216103,835125
Bidean nam Bian,3,3771,214341,754211
Ben Alder,4,3766,249616,771855
Geal-Charn,4,3714,246992,774629
Ben Lui [Beinn Laoigh],1,3712,226635,726296
Binnein Mor,4,3707,221219,766352
An Riabhachan,12,3704,213363,834483
Creag Meagaidh,9,3701,241839,787545
Ben Cruachan,3,3698,206962,730472
Meall Garbh,2,3685,264437,743757
Carn nan Gabhar (Beinn a' Ghlo),6,3681,297116,773314
A' Chraileag [A' Chralaig],11,3675,209431,814791
Sgor Gaoith,8,3668,290300,798961
An Stuc,2,3665,263890,743103
Stob Coire an Laoigh,4,3661,223984,772532
Aonach Beag,4,3661,245786,774190
Stob Coire Easain,4,3658,230802,773066
Monadh Mor,8,3652,293866,794217
Tom a' Choinich,11,3648,216402,827331
Carn a' Choire Bhoidheach,7,3641,322673,784557
Sgurr nan Conbhairean,11,3638,212988,813896
Sgurr Mor,14,3638,220323,871818
Meall a' Bhuiridh,3,3635,225063,750346
Stob a' Choire Mheadhoin,4,3625,231652,773643
Beinn Eibhinn,4,3620,244965,773302
Beinn Ghlas,2,3619,262529,740463
Mullach Fraoch-choire,11,3615,209491,817151
Creise,3,3608,223854,750645
Sgurr a' Mhaim,4,3606,216465,766730
Sgurr Choinnich Mor,4,3589,222771,771419
Sgurr nan Clach Geala,14,3586,218428,871473
Stob Ghabhar,3,3576,223017,745515
Bynack More,8,3576,304190,806373
Beinn a' Chlachair,4,3566,247122,778155
Beinn Dearg,15,3556,225933,881183
Schiehallion,2,3553,271384,754768
Beinn a' Chaorainn,8,3553,304515,801360
Sgurr a' Choire Ghlais,12,3553,225835,843056
Beinn a' Chreachain,2,3545,237387,744075
Ben Starav,3,3542,212576,742714
Beinn Sheasgarnaich [Beinn Heasgarnich],2,3535,241380,738339
Beinn Dorain,2,3530,232554,737855
Stob Coire Sgreamhach,3,3517,215487,753664
Braigh Coire Chruinn-bhalgain (Beinn a' Ghlo),6,3510,294563,772403
Meall Corranaich,2,3507,261534,741047
Sgurr Fhuaran,11,3507,197849,816678
An Socach,12,3507,210061,833274
Glas Maol,7,3504,316699,776576
Cairn of Claise,7,3491,318549,778890
Bidein a' Ghlas Thuill (An Teallach),14,3486,206896,884366
Sgurr Fiona (An Teallach),14,3473,206406,883679
Spidean a' Choire Leith (Liathach),13,3461,192934,857969
Na Gruagaichean,4,3459,220307,765200
Stob Poite Coire Ardair,9,3458,242884,788845
Toll Creagach,11,3458,219401,828280
Sgurr a' Chaorachain,12,3455,208749,844738
Glas Tulaichean,6,3448,305105,776011
Geal Charn,4,3442,250432,781181
Beinn a' Chaorainn,9,3442,238605,785062
Sgurr Fhuar-thuill,12,3442,223580,843754
Carn an t-Sagairt Mor,7,3435,320810,784280
Creag Mhor,2,3434,239150,736111
Chno Dearg,4,3432,237741,774115
Glas Leathad Mor (Ben Wyvis),15,3432,246297,868379
Cruach Ardrain,1,3431,240927,721215
Beinn Iutharn Mhor,6,3428,304566,779279
Stob Coir' an Albannaich,3,3425,216952,744303
Meall nan Tarmachan,2,3424,258518,738998
Carn Mairg,2,3419,268491,751260
Sgurr na Ciche,10,3413,190220,796686
Meall Ghaordaidh,2,3411,251442,739704
Beinn Achaladair,2,3407,234468,743242
Carn a' Mhaim,8,3402,299458,795199
Sgurr a' Bhealaich Dheirg,11,3399,203517,814360
Gleouraich,10,3396,203945,805345
Carn Dearg,4,3392,250416,776444
Am Bodach,4,3385,217637,765097
Beinn Fhada,11,3385,201856,819254
Ben Oss,1,3376,228761,725348
Carn Gorm,2,3376,263516,750071
Carn an Righ,6,3376,302871,777268
Sgurr a' Mhaoraich,10,3369,198392,806581
Sgurr na Ciste Duibhe,11,3369,198401,814953
Beinn Challuim [Ben Challum],2,3363,238685,732235
Sgorr Dhearg (Beinn a' Bheithir),3,3360,205684,755846
Mullach an Rathain (Liathach),13,3359,191188,857689
Stob Dearg (Buachaille Etive Mor),3,3351,222265,754254
Ladhar Bheinn,10,3346,182400,803983
Aonach air Chrith,10,3345,205103,808354
Beinn Bheoil,4,3343,251716,771722
Carn an Tuirc,7,3343,317454,780482
Mullach Clach a' Bhlair,8,3343,288285,792702
Mullach Coire Mhic Fhearchair,14,3331,205206,873511
Garbh Chioch Mhor,10,3323,190956,796101
Beinn Ime,1,3321,225497,708488
Cairn Bannoch,7,3320,322288,782555
The Saddle,10,3319,193610,813124
Sgurr Eilde Mor,4,3314,223054,765788
Beinn Udlamain,5,3314,257945,773975
Sgurr an Doire Leathain,10,3314,201524,809890
Ruadh-stac Mor (Beinn Eighe),13,3314,195142,861152
Beinn Dearg,6,3309,285296,777800
The Devil's Point,8,3303,297609,795115
An Sgarsoch,6,3302,293339,783685
Carn Liath,9,3301,247229,790325
Beinn Fhionnlaidh,11,3297,211560,828271
Maoile Lunndaidh,12,3297,213506,845853
Beinn an Dothaidh,2,3294,233178,740868
Sgurr an Lochain,10,3294,200583,810428
Sgurr Mor,10,3291,196535,798041
Sgurr na Carnach,11,3287,197715,815891
Meall Greigh,2,3284,267400,743808
Sgorr Dhonuill (Beinn a' Bheithir),3,3284,204058,755540
Aonach Meadhoin,11,3284,204882,813760
Stob Ban,4,3280,214777,765443
Sgurr Breac,14,3280,215840,871107
Sgurr Choinnich,12,3279,207625,844627
Stob Daimh [Stob Diamh],3,3278,209482,730858
Sail Chaorainn,11,3278,213313,815442
A' Chailleach,14,3276,213621,871413
Broad Cairn,7,3274,324056,781567
Ben More Assynt,16,3274,231830,920150
Glas Bheinn Mhor,3,3273,215327,742982
Spidean Mialach,10,3268,206592,804306
An Caisteal,1,3267,237873,719343
Sgurr na h-Ulaidh [Sgor na h-Ulaidh],3,3261,211117,751794
Carn an Fhidhleir [Carn Ealar],6,3261,290476,784195
Sgurr na Ruaidhe,12,3258,228900,842615
Carn nan Gobhar,12,3258,218188,834362
Spidean Coire nan Clach (Beinn Eighe),13,3258,196615,859780
Carn nan Gobhar,12,3255,227303,843890
Sgurr Alasdair,17,3255,145000,820783
Sgairneach Mhor,5,3251,259882,773130
Beinn Eunaich,3,3245,213562,732797
Sgurr Ban,14,3245,205581,874554
Creag Leacach,7,3242,315468,774548
Gulvain [Gaor Bheinn],10,3238,200268,787575
Lurg Mhor,12,3238,206480,840451
Conival,16,3238,230330,919938
Sgurr Mhor (Beinn Alligin),13,3235,186565,861270
Sgurr Dearg - Inaccessible Pinnacle,17,3234,144404,821564
Ben Vorlich,1,3233,262912,718916
Druim Shionnach,10,3232,207441,808484
Mullach na Dheiragain,11,3222,208044,825917
An Gearanach,4,3220,218770,766992
Meall na Aighean,2,3219,269477,749669
Stob Coire a' Chairn,4,3219,218561,766063
Ciste Dhubh,11,3219,206236,816618
Slioch,14,3219,200468,869076
Maol Chinn-dearg,10,3216,203221,808769
Beinn a' Chochuill,3,3215,210978,732848
Stob Coire Sgriodain,4,3212,235669,774381
Beinn Dubhchraig,1,3209,230763,725493
Cona' Mheall,15,3209,227509,881642
Stob Ban,4,3205,226669,772395
Meall nan Ceapraichean,15,3205,225727,882548
